time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-04-29T23:17:11.000Z,46.5662,-123.4445,0,0.7,Md,,93.6,0.08084838,0.11,uw,uw60748027,2014-04-30T00:11:43.896Z,"25km ESE of Raymond, Washington",quarry
2014-04-29T23:06:56.000Z,19.8213,-155.3728,24.3,2.3,Ml,,86.4,0.07186522,0.17,hv,hv60680471,2014-04-30T07:09:22.842Z,"27km W of Pepeekeo, Hawaii",earthquake
2014-04-29T23:01:45.000Z,64.9634,-147.336,0.1,1.3,ml,,,,0.71,ak,ak11246132,2014-04-29T23:04:29.103Z,"20km NNE of Badger, Alaska",earthquake
2014-04-29T22:53:14.000Z,63.542,-150.9134,14.4,1.2,ml,,,,0.48,ak,ak11246131,2014-04-29T22:56:17.484Z,"99km W of Cantwell, Alaska",earthquake
2014-04-29T22:52:13.100Z,37.2773,-121.6575,0.3,1.1,Md,7,126,0.01796631,0.02,nc,nc72212141,2014-04-29T23:32:07.404Z,"16km N of Morgan Hill, California",earthquake
2014-04-29T22:38:55.400Z,37.6433,-118.9518,7,1.4,Md,20,57.6,0.02694946,0.04,nc,nc72212136,2014-04-30T02:56:06.821Z,"1km ESE of Mammoth Lakes, California",earthquake
2014-04-29T22:36:54.000Z,61.597,-150.4047,26.5,1.1,ml,,,,0.53,ak,ak11246094,2014-04-29T22:39:23.463Z,"25km WNW of Big Lake, Alaska",earthquake
2014-04-29T22:34:21.000Z,62.8471,-149.0091,53.4,1.5,ml,,,,0.67,ak,ak11246090,2014-04-29T22:38:13.942Z,"60km S of Cantwell, Alaska",earthquake
2014-04-29T22:27:28.000Z,63.2657,-151.2265,0,1.5,ml,,,,0.69,ak,ak11246087,2014-04-29T22:34:59.974Z,"114km W of Cantwell, Alaska",earthquake
2014-04-29T22:23:50.600Z,17.9144,-66.878,15,2.3,Md,11,226.8,0.05928881,0.21,pr,pr14119003,2014-04-29T23:19:37.732Z,"7km SSE of Guanica, Puerto Rico",earthquake
2014-04-29T22:22:33.320Z,-6.4492,130.822,107.41,4.7,mb,,58,1.595,1.45,us,usb000q4k8,2014-04-30T06:25:00.059Z,"174km NNW of Saumlaki, Indonesia",earthquake
2014-04-29T22:19:41.910Z,36.1326667,-118.0758333,5.61,0.48,ml,7,260,0.1795,0.2,ci,ci37218664,2014-04-29T23:38:07.589Z,"52km S of Lone Pine, California",earthquake
2014-04-29T22:19:13.500Z,38.8558,-122.8518,10.5,0.1,Md,6,223.2,0.04491576,0.02,nc,nc72212131,2014-04-29T22:20:52.914Z,"11km WNW of Cobb, California",earthquake
2014-04-29T22:04:42.700Z,40.3057,-124.4568,9.1,2.6,Md,7,280.8,0.13474729,0.08,nc,nc72212126,2014-04-30T06:07:10.661Z,"34km SSW of Ferndale, California",earthquake
2014-04-29T22:04:17.300Z,38.4437,-122.6447,10.8,1.8,Md,14,82.8,0.05389892,0.05,nc,nc72212121,2014-04-30T03:37:06.262Z,"6km E of Santa Rosa, California",earthquake
2014-04-29T21:54:08.000Z,61.6474,-150.477,28.1,1.4,ml,,,,0.84,ak,ak11246081,2014-04-29T22:00:35.567Z,"25km WSW of Willow, Alaska",earthquake
2014-04-29T21:52:54.000Z,60.0013,-152.1378,20.4,1.9,ml,,,,2.24,ak,ak11246084,2014-04-29T22:02:08.032Z,"30km NW of Anchor Point, Alaska",earthquake
2014-04-29T21:46:39.000Z,63.2801,-151.3288,0.1,1.7,ml,,,,0.75,ak,ak11246078,2014-04-29T21:53:00.322Z,"119km W of Cantwell, Alaska",earthquake
2014-04-29T21:44:28.000Z,63.3424,-151.4431,7.1,1.8,ml,,,,0.87,ak,ak11246074,2014-04-29T21:48:39.141Z,"124km W of Cantwell, Alaska",earthquake
2014-04-29T21:42:32.000Z,62.8462,-150.7799,81.6,1.6,ml,,,,0.83,ak,ak11246070,2014-04-29T21:47:34.724Z,"67km NNW of Talkeetna, Alaska",earthquake
2014-04-29T21:42:03.540Z,33.835,-117.4976667,0.01,1.35,ml,30,115,0.1008,0.17,ci,ci37218656,2014-04-29T21:51:38.870Z,"2km ESE of El Cerrito, California",quarry_blast
2014-04-29T21:37:27.280Z,36.1266667,-118.067,0.05,0.41,ml,10,256,0.172,0.11,ci,ci37218648,2014-04-29T21:46:41.749Z,"52km NE of Kernville, California",earthquake
2014-04-29T21:34:58.800Z,38.7645,-122.7307,2.9,0.8,Md,13,82.8,0.01796631,0.02,nc,nc72212116,2014-04-29T21:36:37.797Z,"2km ESE of The Geysers, California",earthquake
2014-04-29T21:31:40.750Z,33.4853333,-116.5591667,12.43,0.59,ml,14,138,0.03716,0.08,ci,ci37218640,2014-04-29T21:40:01.530Z,"13km SE of Anza, California",earthquake
2014-04-29T21:22:57.950Z,36.1328333,-118.0531667,1.98,1.25,ml,22,79,0.1613,0.11,ci,ci37218632,2014-04-29T21:32:35.210Z,"52km S of Lone Pine, California",earthquake
